,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
0,A,67.51,2017-12-21,100936631.36,A,65.22,2018-12-21,305431782.0
1,A,66.33,2018-12-20,235326502.62,A,84.94,2019-12-20,194325137.42
2,A,83.95,2019-12-19,142379703.70000002,A,119.23,2020-12-18,466401648.63
3,A,119.23,2020-12-18,466401648.63,A,150.76,2021-12-20,305621727.32
4,AA,47.42,2018-02-26,168519062.1,AA,30.7,2019-02-26,114315502.4
5,AA,30.7,2019-02-26,114315502.4,AA,14.64,2020-02-26,70216470.48
6,AA,16.01,2020-02-21,88506770.18,AA,23.46,2021-02-22,219047756.04
7,AA,27.48,2021-02-25,231349201.08,AA,73.11,2022-02-25,538228874.55
8,AAL,51.96,2018-02-21,278943674.76,AAL,34.98,2019-02-21,206408025.12
9,AAL,35.75,2019-02-25,389886854.5,AAL,25.62,2020-02-25,571246039.98
10,AAL,28.84,2020-02-19,242285561.0,AAL,17.83,2021-02-18,469431342.42
11,AAL,17.69,2021-02-17,626021892.7800001,AAL,18.54,2022-02-17,555278432.22
12,AAMC,68.55,2018-03-01,97683.75,AAMC,37.17,2019-03-01,2420138.7
13,AAMC,27.0,2019-04-30,17172.0,AAMC,14.15,2020-04-29,851943.2000000001
14,AAMC,14.15,2020-04-29,851943.2000000001,AAMC,17.55,2021-04-29,279747.0
15,AAN,20.89,2021-01-26,6375251.98,AAN,22.59,2022-01-26,4105822.86
16,AAOI,27.57,2018-02-28,31374852.99,AAOI,14.89,2019-02-28,75849451.54
17,AAOI,16.82,2019-02-26,16960732.94,AAOI,10.27,2020-02-26,7326217.47
18,AAOI,8.95,2020-02-28,13276814.85,AAOI,9.52,2021-03-01,12152832.16
19,AAOI,11.61,2021-02-25,7560815.13,AAOI,3.79,2022-02-25,5322463.76
20,AAON,35.65,2018-02-27,25698730.3,AAON,41.36,2019-02-27,6060563.52
21,AAON,41.0,2019-02-28,7526165.0,AAON,56.24,2020-02-28,30913946.96
22,AAON,52.42,2020-02-27,24393122.8,AAON,77.41,2021-02-26,14806597.75
23,AAON,77.22,2021-02-25,14436819.54,AAON,57.68,2022-02-25,9894254.16
24,AAP,116.96,2018-02-21,647057691.04,AAP,166.21,2019-02-21,268648547.2
25,AAP,169.93,2019-02-19,572522378.38,AAP,141.51,2020-02-19,143711612.57999998
26,AAP,145.39,2020-02-18,418975015.48,AAP,154.82,2021-02-17,246004954.68
27,AAP,165.13,2021-02-22,157224896.64,AAP,217.9,2022-02-22,286119914.1
28,AAPL,43.5,2017-11-03,10210985724.0,AAPL,51.08,2018-11-05,13518560850.08
29,AAPL,51.08,2018-11-05,13518560850.08,AAPL,64.26,2019-11-05,5134226716.080001
30,AAPL,61.81,2019-10-31,8601608164.800001,AAPL,111.06,2020-10-30,21165090244.56
31,AAPL,111.06,2020-10-30,21165090244.56,AAPL,148.99,2021-11-01,10935352133.49
32,AAT,34.18,2018-02-05,7487129.0,AAT,42.54,2019-02-04,4520428.02
33,AAT,43.89,2019-02-15,9500034.39,AAT,46.72,2020-02-18,7290142.08
34,AAT,46.15,2020-02-14,39669386.25,AAT,30.24,2021-02-16,15166206.72
35,AAT,30.24,2021-02-16,15166206.72,AAT,35.54,2022-02-16,10317262.0
36,AAWW,58.0,2018-02-22,55609646.0,AAWW,59.61,2019-02-22,14115588.39
37,AAWW,57.32,2019-02-19,52451468.48,AAWW,27.66,2020-02-19,26140387.26
38,AAWW,32.25,2020-04-28,22340284.5,AAWW,68.73,2021-04-28,26427784.68
39,AAWW,58.06,2021-02-18,47174098.36,AAWW,77.23,2022-02-18,65148833.870000005
40,ABBV,115.23,2018-02-16,1004457720.63,ABBV,80.5,2019-02-19,456814396.5
41,ABBV,80.14,2019-02-27,334644284.44,ABBV,86.19,2020-02-27,1221998630.97
42,ABBV,93.96,2020-02-21,627270476.76,ABBV,104.66,2021-02-22,1051653089.46
43,ABBV,106.23,2021-02-19,712000732.35,ABBV,141.25,2022-02-22,1398177673.75
44,ABC,77.83,2017-11-21,124429233.73,ABC,88.52,2018-11-21,110910425.84
45,ABC,90.05,2018-11-20,189005584.8,ABC,87.44,2019-11-20,103119391.04
46,ABC,87.57,2019-11-19,57073222.08,ABC,105.63,2020-11-18,94898625.78
47,ABC,102.65,2020-11-19,152039842.20000002,ABC,125.49,2021-11-19,192479197.29
48,ABCL,53.0,2021-02-10,59347227.0,ABCL,9.58,2022-02-10,49710409.24
49,ABEO,401.25,2018-02-09,40267042.5,ABEO,166.75,2019-02-11,2117224.75
50,ABEO,166.75,2019-02-11,2117224.75,ABEO,65.0,2020-02-10,8046350.0
51,ABEO,39.75,2020-03-16,2127181.5,ABEO,58.0,2021-03-16,4859182.0
52,ABEO,48.73,2021-03-24,5019336.19,ABEO,7.87,2022-03-24,289513.69
53,ABG,69.4,2018-02-27,17252146.0,ABG,71.45,2019-02-27,11313107.2
54,ABG,71.5,2019-02-28,7572779.5,ABG,87.29,2020-02-28,26109224.610000003
55,ABG,88.9,2020-03-02,32361111.3,ABG,172.98,2021-03-02,27768133.44
56,ABG,158.91,2021-01-26,51842003.85,ABG,167.81,2022-01-26,32592058.2
57,ABIO,11.38,2018-03-22,234553.18,ABIO,7.2,2019-03-22,156830.4
58,ABIO,8.64,2019-02-27,306201.60000000003,ABIO,3.55,2020-02-27,466523.25
59,ABIO,5.46,2020-02-18,80507.7,ABIO,5.14,2021-02-17,6383833.739999999
60,ABIO,4.09,2021-03-18,1512931.9,ABIO,2.35,2022-03-18,665559.9500000001
61,ABM,38.56,2017-12-22,14880226.88,ABM,29.9,2018-12-24,11411006.1
62,ABM,31.04,2018-12-21,42556864.32,ABM,38.64,2019-12-23,20091331.68
63,ABM,39.05,2019-12-20,55601381.55,ABM,39.1,2020-12-21,24504752.0
64,ABM,38.8,2020-12-17,32086824.0,ABM,40.95,2021-12-17,48530582.1
65,ABMD,396.17,2018-05-24,192407487.73,ABMD,262.97,2019-05-24,182860922.96
66,ABMD,263.5,2019-05-23,232342706.0,ABMD,198.03,2020-05-22,127145557.56
67,ABMD,196.6,2020-05-21,57940969.0,ABMD,276.4,2021-05-21,57121376.8
68,ABNB,197.0,2021-02-05,565322823.0,ABNB,156.79,2022-02-07,735449835.7199999
69,ABR,11.99,2019-02-15,26413838.11,ABR,14.8,2020-02-18,19581761.6
70,ABR,15.09,2020-01-30,7253687.55,ABR,14.57,2021-01-29,16785863.88
71,ABR,15.45,2021-02-19,24385770.15,ABR,17.35,2022-02-22,44821018.400000006
72,ABT,59.44,2018-02-16,463286178.08,ABT,75.16,2019-02-19,338479302.0
73,ABT,75.35,2019-02-22,399100543.05,ABT,85.45,2020-02-24,474227162.9
74,ABT,88.04,2020-02-21,490462036.00000006,ABT,122.95,2021-02-22,594524725.0
75,ABT,125.25,2021-02-19,777076801.5,ABT,116.54,2022-02-22,767414851.14
76,ABTL,3.6,2018-03-15,526615.2000000001,ABTL,4.8,2019-03-15,491817.6
77,ABTL,4.07,2019-03-11,342409.10000000003,ABTL,2.21,2020-03-10,109808.27
78,ABTL,1.1,2020-03-27,67118.70000000001,ABTL,2.69,2021-03-29,211848.26
79,ABTL,2.74,2021-03-11,1113196.24,ABTL,2.04,2022-03-11,48082.8
80,ABUS,5.25,2018-03-16,1511485.5,ABUS,3.83,2019-03-18,392180.51
81,ABUS,4.02,2019-03-07,417653.88,ABUS,3.25,2020-03-06,818879.75
82,ABUS,3.01,2020-03-05,762110.9299999999,ABUS,3.2,2021-03-05,12014748.8
83,ABUS,3.57,2021-03-04,15866536.56,ABUS,2.93,2022-03-04,6601820.33
84,AC,37.4,2018-03-09,909605.4,AC,44.2,2019-03-11,191386.0
85,AC,44.25,2019-03-08,132484.5,AC,39.7,2020-03-09,303308.0
86,AC,34.59,2020-03-16,685988.8800000001,AC,36.71,2021-03-16,490555.73
87,AC,35.9,2021-03-24,418809.4,AC,40.65,2022-03-24,94389.3
88,ACA,28.94,2019-02-04,3844447.48,ACA,43.93,2020-02-03,11600419.38
89,ACA,39.3,2020-02-27,25661131.5,ACA,56.75,2021-02-26,28736724.5
90,ACA,64.0,2021-02-25,63057408.0,ACA,49.3,2022-02-25,13258791.3
91,ACAD,32.13,2018-02-27,59219863.29000001,ACAD,23.01,2019-02-27,92404777.53
92,ACAD,23.01,2019-02-27,92404777.53,ACAD,39.5,2020-02-27,148751588.5
93,ACAD,39.5,2020-02-27,148751588.5,ACAD,47.34,2021-02-26,46788157.620000005
94,ACAD,48.29,2021-02-25,54539498.64,ACAD,25.57,2022-02-25,22248635.99
95,ACAN,2.19,2017-12-04,392879.43,ACAN,2.35,2018-12-04,136161.35
96,ACAN,2.11,2019-01-15,80251.73999999999,ACAN,0.66,2020-01-15,66081.84
97,ACAN,0.65,2020-01-14,10142.6,ACAN,0.91,2021-01-13,18937.1
98,ACAN,1.02,2020-12-21,32113.68,ACAN,0.46,2021-12-21,27968.92
99,ACC,48.03,2020-02-26,45223511.04,ACC,42.4,2021-02-25,83157254.39999999
100,ACC,41.38,2021-02-26,56073003.5,ACC,53.66,2022-02-28,51907893.68
101,ACCO,13.15,2018-02-28,8870450.85,ACCO,9.24,2019-02-28,5261523.96
102,ACCO,9.34,2019-02-27,4383962.5,ACCO,8.01,2020-02-27,11640107.97
103,ACCO,8.01,2020-02-27,11640107.97,ACCO,8.35,2021-02-26,4606661.6
104,ACCO,8.35,2021-02-26,4606661.6,ACCO,8.59,2022-02-28,5433527.19
